País,Categoría,Disciplina Limpia,Monto_USD
Reino Unido,Premio,Música,37500.0
EEUU,Convocatoria,Música,5500.0
EEUU,Convocatoria,Visuales,5000.0
Reino Unido,Convocatoria,Diseño,112500.0
Chile,Fondos,Música,6160.0
Chile,Convocatoria,Visuales,16500.0
México,Fondos,Otras,13942200.0
México,Fondos,Otras,4560.0
México,Fondos,Otras,1710.0
México,Fondos,Otras,20577000.0
España,Convocatoria,Visuales,27000.0
Argentina,Premio,Escénicas,1760.0
España,Premio,Literatura,37800.0
España,Premio,Visuales,27000.0
Múltiples Países,Fondos,Música,1080.0
Múltiples Países,Premio,Música,2700.0
Canadá,Residencia,Visuales,7400.0
EEUU,Beca,Otras,20000.0
Reino Unido,Convocatoria,Otras,6250.0
Chile,Premio,Visuales,21600.0
México,Fondos,Otras,189525.0
Múltiples Países,Fondos,Música,2700.0
Múltiples Países,Fondos,Música,2700.0
Múltiples Países,Premio,Música,2160.0
Múltiples Países,Convocatoria,Música,5400.0
Múltiples Países,Convocatoria,Música,10800.0
